,ID,Headline,Valence,Anger,Disgust,Fear,Joy,Sadness,Surprise
0,500,Test to predict breast cancer relapse is approved,32,0,0,15,38,9,11
1,501,"Two Hussein allies are hanged, Iraqi official says",-48,24,26,16,13,38,5
2,502,Sights and sounds from CES,26,0,0,0,17,0,4
3,503,Schuey sees Ferrari unveil new car,40,0,0,0,46,0,31
4,504,Closings and cancellations top advice on flu outbreak,-6,1,0,23,8,11,8
5,505,Trucks swallowed in subway collapse,-67,8,0,28,0,57,7
6,506,Sarkozy letter surprises French cartoons hearing,14,0,0,0,0,0,53
7,507,"Building a memorial to a son, one child at a time",-9,10,0,9,22,36,3
8,508,Lawmaker seeks iPod ban in crosswalks in New York,-15,11,0,0,0,4,38
9,509,Diabetic waits months for eyeglasses,-32,34,11,0,0,40,13
10,510,Sudan tells United Nations envoy to leave in 72 hours,-34,18,0,0,0,15,59
11,511,5000 years on but couple still hugging,61,0,0,0,53,0,65
12,512,Defense to challenge Russert's credibility,-6,4,5,0,0,0,19
13,513,"Ozzy, a Hero for the hard-rocking masses",34,0,0,0,37,0,4
14,514,CIA leak trial summary,-23,9,17,2,0,4,33
15,515,Dance movie takes over No. 1,63,0,0,0,56,0,37
16,516,Asian nations urge Myanmar reform,14,0,0,0,17,0,19
17,517,"After Iraq trip, Clinton proposes war limits",38,8,0,8,53,13,25
18,518,7 dead in apartment building fire,-86,14,2,47,0,86,10
19,519,Male sweat boosts women's hormone levels,18,0,14,0,6,0,75
20,520,Carphone Warehouse's mixed signals,-2,2,2,0,0,0,10
21,521,Democrats plot Bush troop increase censure,-2,19,1,1,19,9,21
22,522,Cisco sues Apple over iPhone name,-46,51,7,0,0,3,27
23,523,BB star Jackson denies Goody comments,-10,7,8,0,0,0,2
24,524,Inter Milan set Serie A win record,50,2,0,0,50,0,9
25,525,US Airways boosts bid for Delta,23,0,10,0,18,2,26
26,526,Press sees hope in Mecca talks,55,0,0,0,60,3,16
27,527,Bears fan loses bet and changes name,-13,2,13,0,2,17,33
28,528,Global National	Major child porn ring bust,13,46,64,0,42,31,27
29,529,'Human hair' clue in hunt for airliner,27,0,0,0,2,0,36
30,530,Johnny Depp to make movie of spy poisoning,36,0,0,0,40,8,17
31,531,Really?: The claim: the pill can make you put on weight,2,0,8,0,5,0,49
32,532,5 money makeovers,38,0,0,0,31,0,8
33,533,TBS to pay $2M fine for ad campaign bomb scare,-29,25,32,45,11,28,43
34,534,"""Stomp the Yard"" has winning moves in its weekend debut",62,0,0,0,68,0,13
35,535,"Discovered boys bring shock, joy",45,0,0,3,55,0,56
36,536,Bernhard set to leave Volkswagen,-46,11,0,0,0,40,22
37,537,Pacers' Jackson misses gun hearing,-44,14,10,24,2,3,21
38,538,Cases: when the simple solution is the right one,27,0,0,0,15,0,12
39,539,Two Muslim groups sue French newspaper International,-32,40,8,0,7,26,36
40,540,Golden Globes on their way,60,0,0,0,63,0,0
41,541,"At New OZZFEST, Freedom Ain't Free",-18,11,0,5,6,1,18
42,542,Federer handed tough Aussie draw,4,0,0,0,4,8,4
43,543,Protesters end strike as Nepal PM concedes demands,29,24,0,3,48,6,18
44,544,"Turner pays for Boston ""bombing""",-33,17,0,30,2,0,16
45,545,Two detained in body parts mailing,-30,4,61,30,8,14,5
46,546,Essay: about that mean streak of yours: psychiatry can do only so much,3,8,0,6,10,20,17
47,547,Hussein's niece pleads for father's life,-39,18,19,17,0,53,12
48,548,Sarkozy heads for clash in cartoons row,-44,30,13,8,0,2,9
49,549,Global web of suspects in child-rape download,-64,55,54,0,0,36,13
50,550,Blake defeats Moya to retain title,29,4,0,0,33,1,2
51,551,"Storms kill, knock out power, cancel flights",-83,3,9,82,0,60,0
52,552,Aquarium puts ailing beluga whale to sleep,-44,1,0,0,7,67,12
53,553,"Microsoft, Sony, we have a problem",-28,0,0,6,0,21,26
54,554,A police state? The issues,-43,15,5,46,0,8,0
55,555,Move to ban iPods from crossing the street,-10,17,0,0,13,11,20
56,556,India's Taj Mahal gets facelift,67,0,0,0,65,0,23
57,557,Cheney to Congress: Can't run Iraq war by committee,-56,47,4,26,0,21,6
58,558,Ganguly handed India squad call-up,6,4,4,6,31,5,12
59,559,Fortune: Looking beyond the iPhone,42,0,0,0,36,0,24
60,560,Really?: The claim: the back seat of a car is the safest place to sit,31,0,0,6,23,0,44
61,561,Vaccine mandate upsets legislators,-34,17,8,11,13,7,5
62,562,News analysis: Iranian boast is put to test,-24,17,7,28,2,1,2
63,563,Panel issues bleak report on climate change,-42,20,15,48,0,45,0
64,564,Virtual 'American Idol' hits right notes,51,0,0,0,44,0,25
65,565,"Iraq car bombings kill 22 People, wound more than 60",-98,32,27,84,0,95,20
66,566,'Stomp' steps to No. 1 at box office,62,0,0,0,60,0,19
67,567,Google executive acts as goodwill envoy,50,0,0,0,50,0,29
